Key,English,Japanese,SChinese,TChinese
CopsRobbersModeName,CopsRobbers,ケイドロ,警察抓小偷,警匪追逐
CopsRobbersModeCrewName,Thief,泥棒,小偷,小偷
CopsRobbersModeCrewTitle1,Finish the task and win without getting caught by the police!,警察に捕まらないようにタスクを終わらせて勝利しよう,在不被警察抓到的前提下完成任务获得胜利,在不被警察抓到的前提下完成任務以獲得勝利
CopsRobbersModeImpostorName,Police,警察,警察,警察
CopsRobbersModeImpostorTitle1,Catch all the thieves and win!,泥棒を全員捕まえて勝利しよう,逮捕所有小偷获得胜利,逮捕所有小偷以獲得勝利
DetectiveModeName,Detective Mode,探偵モード,侦探模式,偵探模式
DetectiveModeIsWinNotCheckSetting,Not include the detective in the win condition determination.,探偵を勝利条件判定に入れない,侦探不计入胜利条件判定,偵探不計入勝利條件判斷
DetectiveModeIsNotTaskSetting,No tasks for detective,探偵にタスクがない,侦探没有任务,偵探沒有任務
DetectiveModeIsNotDetectiveVoteSetting,Non-Detective cannot vote,探偵以外は投票できない,侦探以外的玩家不可以投票,偵探以外的玩家禁止投票
DetectiveModeIsNotDetectiveMeetingButtonSetting,Non-Detective cannot press the conference button,探偵以外が会議ボタンを押せない,侦探以外的玩家不可以召开紧急会议,偵探以外的玩家禁止召開緊急會議
DetectiveName,Detective,探偵,侦探,偵探
DetectiveTitle1,Guess and win over your crewmates!,推理してクルーメイトを勝利させよう,通过推理帮助船员获胜,通過推理幫助船員獲勝
BattleRoyalIsViewAlivePlayer,You can see how many player are left alive.,残り生存人数がわかる,所有玩家可见存活玩家数,所有玩家可見存活玩家總數
BattleRoyalIsTeamBattle,Team competition,チーム戦,启用团队赛,團體戰
BattleRoyalTeamAmount,Number of teams,チーム数,团队数,團隊數
BattleRoyalIsKillCountView,Display kill count,キル数を表示する,,顯示擊殺數
BattleRoyalIsKillCountViewSelfOnly,Show only to yourself,自分のみに表示する,,只顯示自己的擊殺數
BattleRoyalStartSeconds,Seconds to be able to make a kill,キルができるようになるまでの秒数,从游戏开始到玩家可击杀经过的时间,可擊殺所需時間
ZombieZombieName,Zombie,ゾンビ,僵尸,殭屍
ZombieZombieTitle1,Infect other players!,他のプレイヤーを感染させよう,感染他人获得胜利,感染他人以獲得勝利
ZombiePoliceName,Police,警察,人类,人類
ZombiePoliceTitle1,Let's finish the task.,タスクを終わらせて勝利しよう,完成任务获得胜利,完成任務以獲得勝利
ZombieTimerText,Zombies incoming! {0}s,ゾンビがやってくるまで残り{0}秒！,僵尸将在{0}秒后出现,殭屍要來了，還剩{0}秒！
ZombieStartSecondSetting,Time until the zombies come.,ゾンビがやってくるまでの時間,僵尸出现倒计时,殭屍出現倒計時
ZombieZombieLightSetting,Zombie Visibility,ゾンビの視界,僵尸视野,殭屍視野
ZombieZombieSpeedSetting,Zombie Speed,ゾンビのスピード,僵尸速度,殭屍速度
ZombiePoliceLightSetting,Police visibility,警察の視界,人类视野,人類視野
ZombiePoliceSpeedSetting,Speed of police,警察のスピード,人类速度,人類速度
ZombieCommingLightSetting,Light before zombies,ゾンビがやってくる前の視界,僵尸出现前的视野,殭屍出現前的視野
ZombieCommingSpeedSetting,Speed before zombies,ゾンビがやってくる前のスピード,僵尸出现前的速度,殭屍出現前的速度
RandomColorHideNameSetting,Hide Name,名前を隠す,隐藏昵称,隱藏暱稱
RandomColorNameColorSetting,Change Name Color,名前の色も変える,昵称颜色改变,暱稱顏色改變
RandomColorMeetingSetting,In Meeting Change Color,会議中にも色を変更する,会议中昵称颜色改变,會議中暱稱顏色改變
NeutralName,Neutral,第三陣営,独立阵营,中立陣營
WinName,Win,勝利,胜利,勝利
PlusGameOptionSetting,Plus Game Options Setting.,ゲーム オプション,更多游戏设置,其他設定
SettingNoSabotageMode,Block Sabotage Mode,サボタージュ禁止モード,内鬼禁用破坏,內鬼禁用破壞
SettingNoTaskWinMode,Not Task Win Mode,タスク勝利できないモード,船员禁用完成任务获胜,船員禁用完成任務獲勝
SettingFixedSpawnMode,Fixed Spawn Mode,固定スポーンモード,固定出生点,固定重生點
MapOptionSetting,Map Option,マップの設定,地图设置,地圖設定
NotUseReportSetting,Unable to Report DeadBody,死体通報ができない,禁用报告,禁用屍體報告
NotUseMeetingSetting,Conference button not available,会議ボタンが使用できない,禁用紧急会议,禁用召開緊急會議
DeviceOptionsSetting,Information Device Options,情報機器制限の設定,飞船设备设置,情報獲取裝置限制使用設定
CanUseDeviceSetting,<color=#03ff0c>On</color>/<color=#f22f21>Off</color> setting.,使用<color=#03ff0c>可能</color>/<color=#f22f21>不可能</color> の設定,<color=#03ff0c>启用</color>/<color=#f22f21>禁用</color>设置,<color=#03ff0c>可以</color>/<color=#f22f21>不行</color>使用設定
DeviceUseAdminSetting,Use OK Admin,アドミンが使える,可以观看管理地图,可以觀看管理員地圖
DeviceUseVitalOrDoorLogSetting,Use OK Vital Or DoorLog,バイタル・ドアログが使える,可以观看生命监测装置和通行日志,可以觀看生命跡象檢測器與通行日誌
DeviceUseCameraSetting,Use OK Camera,カメラが使える,可以观看监控,可以觀看監視器
HASHideName,Hide,逃,躲藏者,逃藏方
HASSeekName,Seek,鬼,抓捕者,捉捕方
HASDeathTaskSetting,Hide Death Clear Task,死亡するとタスクが終わる,死亡后隐藏尸体并清除任务,死後隱藏屍體並清除任務
HASUseSaboSetting,Use Sabotage,サボタージュが使える,抓捕者可以造成紧急破坏,捉捕方可以使用緊急破壞
HASUseVentSetting,Use Vent,ベントが使える,抓捕者可以使用管道,捉捕方可以使用通風管道

# FinalResults
FinalResults,Final results,最終結果,最終結果
FinalStatusAlive,Survival,生存,存活,生存
FinalStatusKill,Kill,キル,被杀,被殺
FinalStatusExiled,Exiled,追放,放逐,驅逐
FinalStatusSheriffKill,Executing justice,正義執行,出警,警長正義執行
FinalStatusSheriffMisFire,Sheriff misfire,シェリフ誤爆,走火,警長誤傷
FinalStatusMeetingSheriffKill,Meeting Sheriff kill，Executing justice,正義執行,执法,執法官正義執行
FinalStatusMeetingSheriffMisFire,Meeting Sheriff misfire,ミーティングシェリフ誤爆,误判,執法官誤傷
FinalStatusIgnite,Ignite,焼殺,纵火,燒死
FinalStatusDisconnected,Amputation,切断,断连,截肢
FinalStatusDead,Death,死亡,死亡,死亡
FinalStatusSabotage,Sabotage,サボタージュ,破坏,破壞
FinalStatusNekomataExiled,The Way of the Nekomata,猫又の道連れ,连带,獵人連帶
FinalStatusSluggerHarisen,Harisen,ハリセン,击飞,擊飛
FinalStatusLoversBomb,Lovers suicide,心中,殉情,殉情
FinalStatusKunaiKill,Kunai,クナイ,苦无,苦無
FinalStatusSamuraiKill,Farewell.,切り捨て御免,一刀两断,切捨御免
FinalStatusChiefMisSet,Misnaming,指名誤爆,背刺,指名失敗
FinalStatusFalseChargesFalseCharge,Self-determination for injustice,冤罪自決,冤案,冤罪自裁
FinalStatusSelfBomberBomb,Suicide bomb attack,自爆特攻,自爆,阿拉花瓜！
FinalStatusBySelfBomberBomb,Bomb victim,自爆巻き添え,恐袭,恐攻犧牲者
FinalStatusLadderDeath,Death by fall,転落死,坠落,摔死
FinalStatusNunDeath,Death by fall from Nun,ぬーん転落死,鬼上身,摔死
FinalStatusSpelunkerCommsElecDeath,CommsElec death,停電通信死,摔死,停電而死
FinalStatusSpelunkerSetRoleDeath,SetRole death,役職死,死亡,職業死亡
FinalStatusSpelunkerVentDeath,Vent death,ベント転倒死,绊死,管道絆倒死亡
FinalStatusSpelunkerOpenDoor,Door death,ドア指挟み死,夹死,被門夾死
FinalStatusTunaSelfDeath,Heart Stop,心停止,希望之花~紧连着羁绊~,不要停下來啊！♫希望之花♫
FinalStatusBestFalseChargesFalseCharge,False charge,冤罪追放,含冤而死,六月雪
FinalStatusSheriffHauntedWolfKill,Executing justice,正義執行,出警,正義執行
FinalStatusMeetingSheriffHauntedWolfKill,Executing justice,正義執行,执法,正義執法
FinalStatusRemoteSheriffHauntedWolfKill,Executing justice,正義執行,超能轰击,正義轟擊
FinalStatusRemoteSheriffKill,Executing justice,正義執行,超能轰击,正義轟擊
FinalStatusRemoteSheriffMisFire,Remote Sheriff MisFire,リモートシェリフ誤爆,超能反噬,轟擊誤判
FinalStatusSerialKillerSelfDeath,Suicide of Serial Killer,シリアルキラー自殺,躁狂,連環殺手自殺
FinalStatusVampireKill,Death by bloodsucking,吸血死,吸血,吸血而亡
FinalStatusDependentsExiled,Consumed by the night.,夜に歠まれた,I miss you...,被黑夜吞噬
FinalStatusOverKillerOverKill,Over Kill!,オーバーキル!,肢解,被肢解
FinalStatusSuicideWisherSelfDeath,Suicide,自殺,自杀,自殺
FinalStatusMadmakerMisSet,Misnaming,指名誤爆,背刺,指名反噬
FinalStatusRevenge,Revenge,復讐,仇杀,仇殺
FinalStatusHitmanKill,Mission accomplished.,任務遂行,遇刺,暗殺
FinalStatusHitmanDead,Disposition.,処分,沉江,被處分
FinalStatusWorshiperSelfDeath,Suicide,自決,自杀,自殺
FinalStatusSheriffInvolvedOutburst,Collateral damage to the sheriff's misfire.,暴発巻き添え,误杀,警長誤殺
FinalStatusTheThirdLittlePigCounterKill,Counter Kill,カウンターキル,反杀,反殺
FinalStatusGuesserKill,Deadshot by guess,推測射殺,赌杀,身分狙殺
FinalStatusGuesserMisFire,Guesser misfire,ゲッサー誤爆,误赌,狙擊炸膛
FinalStatusLoversBreakerKill,explosion,爆破,FFFFFF,被爆破
FinalStatusMadJesterExiled,Death liberates,解放,“我再无束缚了”,自由解放

# Sabotages
SabotageSetting,SNR’s own sabotage setup,独自サボタージュの設定,模组紧急破坏设置,破壞設定
SabotageCognitiveDeficitSetting,Cognitive Deficit,認識障害,破坏时附带认知干扰,破壞時附加認知干擾
CognitiveDeficitSabotageOutfitUpdateTimeSetting,Figure Change Interval,姿変更間隔,认知干扰时其他玩家外貌变换间隔时间,認知干擾時其他玩家外貌變換的間隔時間
CognitiveDeficitSabotageReleaseTimeSetting,Release Time,解除時間,认知干扰持续时间,認知干擾持續時間
CognitiveDeficitSabotageIsAllPlayerEndSabotageSetting,Cannot be sabotaged unless everyone is deactivated.,全員が解除しないとサボタージュできない,有玩家没有解除认知干扰则破坏不能发起,有玩家沒有解除認知干擾則破壞無法發起

# WereWolfMode
WereWolfHunterText,Let's die with someone else.,誰かを道連れにしよう,送别人上路吧,送別人上路吧
WereWolf.WereWolf,Werewolf,人狼,狼人,狼人
WereWolf.WereWolfText,Let's Eat Villager and Win!,市民を食べて勝利しよう,吃掉市民获得胜利,吃掉市民獲得勝利
WareWolfMadman,Madmate,狂人,隐狼,隱狼
WereWolfMadmanText,Help the werewolves and win!,人狼を助けて勝利しよう,帮助狼人获得胜利,幫助狼人獲得勝利
WareWolfVillager,Villager,市民,市民,市民
WereWolfVillagerText,Expel the werewolves in the debate and win!,議論で人狼を追放して勝利しよう,通过辩论放逐狼人获得胜利,通過辯論放逐狼人獲得勝利
WareWolfFortuneTeller,FortuneTeller,占い師,预言家,預言家
WereWolfFortuneTellerText,Divination to discover the werewolf and win!,占って人狼を発見して勝利しよう,通过占卜找到狼人获得胜利,通過占卜找到狼人獲得勝利
WareWolfMedium,Medium,霊媒師,守墓人,靈媒
WereWolfMediumText,Search out the role of the dead and win!,死んだ人の役職を調べて勝利しよう,查清死者职业获得胜利,調查死者職業獲得勝利
WereWolfMeetingNormal,This is Meeting Time.,今回は会議タイムです。,本次会议时间,本次會議時間
WereWolfMeetingAbility,This is Use to Ability Time.,今回は能力使用タイムです。,本次能力使用时间,本次能力使用時間
WereWolfMediumAbilityText,{0}'s Role is {1}!,{0}の役職は{1}です!,{0}的职业是{1}!,{0}的職業是{1}！
WerewolfModeName,Werewolf,人狼,狼人杀,狼人殺
WerewolfAbilityTimeSetting,Ability Time,能力使用タイム,能力持续时间,能力持續時間
WerewolfAbilityTime,{0} seconds remaining until the end of the ability use time,能力使用タイムが終了するまで残り{0}秒,能力持续时间还剩{0}秒,能力持續時間還剩{0}秒
HauntedWolfName,HauntedWolf,狼憑き,混血儿,混血兒
HauntedWolfTitle1,Don't let the crew find out.,クルーにバレるな,别让其他船员起疑,別讓其他船員起疑
PlayerCountMessage,Players,人,名,名
DebugModeOnText,<color=#828282>DebugMode</color>:ON,<color=#828282>デバッグモード</color>が有効です,启用<color=#828282>调试模式</color>,啟用<color=#828282>除錯模式</color>
BattleRoyalRemaining,Remaining until kills can be made,キルができるようになるまで残り,允许击杀时的剩余人数,允許擊殺時的剩餘人數
Player,Player,プレイヤー,玩家,玩家
CopsImpostorCome,Remaining until the Impostor arrives,インポスターが来るまで残り,内鬼出现时的剩余人数,內鬼出現時的剩餘人數
CopsSpawnLoading,Waiting for all players to spawn...\nLoading: {0} people remaining</color></size>,全プレイヤーのスポーンを待っています...\nロドー中:残り{0}人</color></size>,等待所有玩家进入行动阶段...\n载入中:还剩{0}人</color></size>,等待所有玩家進入行動階段...\n載入中：還剩{0}人</color></size>
CRHideNameSetting,Hide Name,名前を隠す,隐藏昵称,隱藏暱稱
IsOldMode,OldMode,オルドモード,怀旧模式,懷舊模式
CrewmateName,Crewmate,クルーメイト,船员,船員
CrewmateTitle1,Use Task,タスクを行う,找出内鬼,找出內鬼
CrewmateDescription,Default Crewmate.\nScientist，Engineer，and GuardianAngel in vanilla Roles are also listed as Crewmate.\n\nYou may be an ordinary person with no special abilities，but that is why you are free from any ties.\nEnjoy the freedom that only freedom can give you!\n\nBut remember that with freedom comes responsibility...\n\n.........You are responsible for whatever happens as a result of your actions.\nAbandoning responsibility for the consequences and shifting the blame to others is unforgivable.\nAccept it. That is the result of free action.,通常のクルーメイトです。\nバニラ役職の科学者，エンジニア，守護天使もクルーメイトとして表記されます。\n\n貴方は確かに特殊能力のない平凡な存在かもしれません、\nしかしそれ故に しがらみのない自由な存在です。\n自由だからこそ可能な 立ち回りを楽しんでみましょう!\n\n但し、自由には責任が伴う事を忘れずに...\n\n.........お前が起こした行動で 何が起きてもお前の責任だ。\n結果について責任を放棄する事、責任を他人に転嫁する事は赦されない。\n受け入れろ。それが自由な行動の結果なのだ。,普通船员。\n原版职业科学家、工程师以及守护天使也被视作普通船员。\n你也许是没有特殊能力的普通玩家，但这也意味着你不会受到太大的束缚。\n请尽可能享受原汁原味的玩法带给你的自由吧！\n但记住，自由往往与责任相伴&\n\n你要为你的所有行为负责。\n推卸责任是不可饶恕的行为。\n你必须接受它，这是自由的代价。,預設船員職業。\n原版職業的科學家、工程師、守護天使也被列為船員。\n\n你可能是不具有特殊能力的普通人，\n但這將成為不受拘束的自由存在。\n但有記住自由是有代價的...\n\n......你的任何行動都將成為你所必須付出的代價。\n對於其結果，放棄應付的責任或將責任轉嫁於他人之上是不被允許的。\n接受這件事，因為這就是自由的代價。
